nom,comment,pays,niveau,cout
Biscuits allemands de Noël,SUPER!  A part petite panne de gaz juste au moment de la cuisson.....ils ont bien supporté d 'attendre au frigo pendant une nuit....Merci !,allemagne,Facile,0.72
Biscuits allemands de Noël,"C'est facile et beau ,trop cool",allemagne,Facile,0.72
Biscuits allemands de Noël,exellent biscuit ! mes enfants et moi meme avons adorer j ai aussi doubler la quantiter pour avoir un peu plus ont n ai des gourmand !! ,allemagne,Facile,0.72
Biscuits allemands de Noël,"Délicieuse recette mais je double les quantités car avec celles d'indiquées et avec des emporte-pièces assez grands, je ne fais que 9 ou 10 biscuits, donc il faut doubler les quantités",allemagne,Facile,0.72
Biscuits allemands de Noël,Pouvez-vous mettre une photo svp,allemagne,Facile,0.72
Biscuits allemands de Noël,"Bien, je vais me lancer ! Quand je vois les autres commentaire, cela me fait sourire le nombre de biscuits. A mon avis, cela dépend des emporte-pièces. J'ai envie de doubler les quantités, pour diviser la pâte, ensuite d'incorporer d'autres épices, d'autre saveurs, pour avoir différents biscuits.",allemagne,Facile,0.72
Biscuits allemands de Noël,"Combien obtient-on de biscuits grâce à cette recette ? Elle me paraît en effet succulente, et je souhaiterai en préparer pour un repas de famille...",allemagne,Facile,0.72
Biscuits allemands de Noël,"C'est très tentant !! Pouvez-vous m'indiquer combien de biscuits on obtient environ, s'il vous plait ?",allemagne,Facile,0.72
Biscuits allemands de Noël,"Mmmm trop bon, je l'ai faite !",allemagne,Facile,0.72
Biscuits bretzels apéritifs,"bonsoir,  en tant qu'Alsacienne je voudrais vous dire que ce ne sont pas ces bretzels qui vont avec cette recette mais ceux que l'on achète en grandes surfaces !!!! ",allemagne,Facile,0.4
Biscuits de Noël allemands (Lebkuchen),"Pas assez de précisons dans la recette,  les écorces doivent elles être coupées tt petit? Le chocolat est bien trop epais pour mettre sur les biscuits si on suit cette recette....1 seul oeuf ne suffit pas, sinon la pâte n'est que de la poudre... ",allemagne,Facile,0.75
Boulettes de viande hachée,"Elles sont meilleures que celles que je mange habituellement, je ne les ai pas pané et je les ai cuites au airfryer 13min à 180 degrés. Très bonnes je vais voir ce soir si mon mari aime !",allemagne,Facile,1.6
Boulettes de viande hachée,"Très bon, elles ont eu du succès auprès de mon carnivore de mari ! Personnellement, je rajoute de la farce à la viande hachée, ça les rend un peu moins sèches.",allemagne,Facile,1.6
Bretzel,Où sont les ingrédients ?,allemagne,Facile,0.75
Bûche de Noël forêt noire,"bonjour, quel moule à gâteau , quelle taille pour le moule ?",allemagne,Intermédiaire,1.8
Choucroute simplissime,"Si je puis me permettre, en tant qu'alsacienne: on fait une choucroute soit à la bière, soit au vin...mais sûrement pas en mélangeant les deux. Par ailleurs, les knacks se réchauffent tout simplement en les mettant 4-5 minutes dans une casserole d'eau bouillante (hors du feu, bien entendu).",allemagne,Facile,4.63
Currywurst ou saucisses au curry allemandes,Très très acide ; on sent beaucoup trop le vinaigre et très peu le curry. Déçue. Je ne referai pas cette recette,allemagne,Facile,1.7
Currywurst ou saucisses au curry allemandes,"Je ne suis pas du tout persuadée que le résultat ressemblera à la Currywurst qu'on trouve partout à Berlin... Avec des saucisses de Francfort (Wiener Würste en Allemagne), ça aura plutôt une vague parenté avec une Bockwurst. Ce qu'on sert avec, ce serait plutôt une tranche de pain (Scheibe Mischbrot, seigle+froment) ou un petit pain (Schrippe ou Brötchen) ou encore de la salade de pommes de terre noyée dans une ""mayonnaise"" vaguement sucrée. Et du ketchup saupoudré de curry, ou encore de la moutarde douce (pour les Bockwürste).",allemagne,Facile,1.7
Desserts Allemands,"Mmmm trop, trop bon; c'est parce que c'est allemand :p",allemagne,Facile,1.84
Forêt noire,"Alors si vous voulez une forêt surtout n'allez pas sur ce site. Ici cette recette doit être mise pour nous prendre en piège le gâteau ne gonflent pas, il reste plat et pour la crème chantilly elle reste liquide. Nulle cette recette faut aller voir ailleurs ",allemagne,Difficile,1.78
Forêt noire aux cerises noires,"Je confirme l'avis de Jérôme .  Faire absorber avec 6 oeufs  :  la farine , le cacao , la poudre d'amande, la levure ,  le beurre fondu avec le sucre vanillé  .....Résultat  ?  une pâte dure , compacte à laquelle il faut mélanger  ""délicatement""  les blancs en neige !!!  Finalement un gâchis de 3 galettes très fermes garnies de bonne crème chantilly ! Pas convaincante du tout la recette !  à déconseiller .",allemagne,Intermédiaire,1.96
Forêt noire aux cerises noires,"En tant que novice, je déconseille cette recette... La génoise devient un crumble et ce n'est pas les oeufs en neige qui qui arrangent les choses. La génoise n'a pas monté. Trop de produits secs. Heureusement ma compagne a plus ou moins sauvé ce gâteau ",allemagne,Intermédiaire,1.96
Forêt noire aux cerises noires,Très bon gâteau avec des framboises. Merci pour la recette ,allemagne,Intermédiaire,1.96
Forêt noire aux cerises noires,"Je défie quiconque sur cette recette : vous n'obtiendrez qu'un ""crumble"" au chocolat avant même d'attaquer la crème. La recette de la génoise est fausse. C'est très sec et dur. Débutant, j'ai perdu mon temps, des œufs, du sucre, ... déçu de ne pas avoir eu ma foret noire pour mon anniversaire. Nulle cette ""recette"".",allemagne,Intermédiaire,1.96
Forêt noire aux cerises noires,Tout à fait d'accord; en suivant la recette je n'ai obtenu que 3 galettes sèches et presque brulées d'à peine 1/2 cm d'épaisseur,allemagne,Intermédiaire,1.96
Forêt noire aux cerises noires,Deux monuments de la patisserie ! D'abord la Génoise puis la crème chantilly pour donner ce gateau aromatisé au Kirsch ! A ce damner ! ,allemagne,Intermédiaire,1.96
Forêt noire aux cerises noires,"Perso je préfère la version originale, donc alcoolisée ! ",allemagne,Intermédiaire,1.96
Forêt noire aux cerises noires,"L'étape 3 est un vrai problème, le mélange est beaucoup trop solide et les blancs en neige se cassent dessus.  Grosse déception pour la génoise, à voir après cuisson mais elle ne sera pas homogène et sûrement pas aérée.",allemagne,Intermédiaire,1.96
Forêt noire aux cerises noires,L’équipe de CuisineAZ vous informe que vos commentaires ont bien été pris en compte pour améliorer cette recette! Nous espérons qu’elle vous plaira! Ce serait très sympa de la commenter quand vous l’aurez testée à nouveau! Merci beaucoup!,allemagne,Intermédiaire,1.96
Forêt noire aux cerises noires,"Je ne suis pas à ma première tentative, mais grâce à votre recette j'ai pu la réaliser sans trop de difficulté. J'ai aussi rajouté du chocolat blanc sur le dessus, vue que j'en avait dans le placard. Merci pour la recette.",allemagne,Intermédiaire,1.96
Forêt noire aux cerises noires,Je ne suis pas fan de la Forêt Noire mais celle-ci me donne particulièrement envie de tester la recette ! ,allemagne,Intermédiaire,1.96
Forêt noire aux cerises noires,"Ooooh la belle photo ! Et quand on regarde bien, ce n'est pas si difficile de faire une forêt noire ! Tous aux fourneaux ! ",allemagne,Intermédiaire,1.96
Forêt noire aux cerises noires,Bonne recette mais je ne suis pas trop fan de ce genre de gâteau. Les saveurs me plaisent mais je pense que je vais le revisiter.,allemagne,Intermédiaire,1.96
Forêt noire aux cerises noires,"un dessert finalement plus facile à faire qu'il n'y parait , à essayer aussi la version forêt blanche , avec une génoise nature et du chocolat blanc",allemagne,Intermédiaire,1.96
Forêt noire aux cerises noires,"Très beau et bon gâteau, je réalise une génoise un peu plus light: avec de la farine complète, du sirop d'agave pour alléger la pâte. J'adore ce dessert!",allemagne,Intermédiaire,1.96
Forêt noire aux cerises noires,"Ce gâteau est un classique et obtient toujours beaucoup de succès. Bien fait il reste très léger en fin de repas. J'aime y mettre de la chantilly sur les bords et le dessus, je garni l'intérieur de cerises liées pour avoir plus de fruits. Pour une version sans alcool, n'hésitez pas à utiliser le jus des cerises dans un petit sirop de sure très léger.",allemagne,Intermédiaire,1.96
Forêt noire aux cerises noires,Très joli gâteau.. à tester rapidement.,allemagne,Intermédiaire,1.96
Forêt noire aux cerises noires,"J' aime en faire quand j'ai un peu de tempsPour varier j' ajoute un peu de chocolat fondu dans la chantilly, mais pas trop pour ne pas faire retomber la chantilly. Et je fais une chantilly classique. Je fais des gros points en alternant les deux chantillys
Je ne mets pas d' alcool mais le sirop des cerises",allemagne,Intermédiaire,1.96
Forêt noire aux cerises noires,"aussi beau que bon, il parait compliquer à faire, mais  c'est faut,  ce gâteau est tellement facile a réalisé, il suffit de réalisé une bonne génoise et le tours est joué",allemagne,Intermédiaire,1.96
Forêt noire aux cerises noires,"Superbe , un dessert qui a toujours du succès quand je le fais.... tout le monde quasiment craque pour le chocolat",allemagne,Intermédiaire,1.96
Forêt noire aux cerises noires,"Très jolie réalisation. Je prendrais volontiers une part, mais sans alcool pour moi.",allemagne,Intermédiaire,1.96
Forêt noire aux cerises noires,"Bravo pour cette superbe recette ! Avec des cerises au sirop Amarena, ça ne doit rien gâter !",allemagne,Intermédiaire,1.96
Forêt noire maison,Peut-être mais attention aux fautes.,allemagne,Intermédiaire,1.9
Forêt noire maison,je suis un ancien patissier je peut certifier que cette recettes na rien a voir avec une foret noires merci d avoir mis cette recette pour mon anniversaire mdr ,allemagne,Intermédiaire,1.9
Forêt noire maison,Peut on faire le gâteau la veille pour le lendemain? J'ai peur que la chantilly devienne liquide ? ,allemagne,Intermédiaire,1.9
Galettes de pommes de terre à l'allemande,J ai ajouté des oignons râpée délicieux ,allemagne,Facile,0.67
Galettes de pommes de terre à l'allemande,il manque la noix de muscade ! si vous y ajouté 1 cuillère d'eau pétillante elle serront meilleur ( mais pas obliger ),allemagne,Facile,0.67
Galettes de pommes de terre à l'allemande,"Sympas ces petites galettes ! Je les ai testé ce soir ""telles quelles"", mais la prochaine fois, j'ajouterai du fromage aussi...En tous cas, elles sont déjà très bonnes comme ça !",allemagne,Facile,0.67
Galettes de pommes de terre à l'allemande,Bonjour! moi j'ajoute aussi du gruyère dans la pate et mange ces galettes avec du munster! Repas chaleureux garanti,allemagne,Facile,0.67
Galettes de pommes de terre à l'allemande,C'est délicieux ! A essayer avec de la compote de pommes en accompagnement.,allemagne,Facile,0.67
Kartoffelsalat,"Une recette plus familiale que festive, me semble-t-il... Au fait, les oeufs n'ayant pas d'écailles,, on ne peut pas les écailler... Donc, on les écale  ! ",allemagne,Facile,1.8
Salade de pommes de terre froide,"Bonjour,Une petite urgence si quelqu'un me lis... j'ai commencé la recette, mais faut il à un moment donner égoutter le vin blanc des pommes de terre?? (au bout des 3h?)
d'avance merci et bon dimanche",allemagne,Facile,1.23
Salade de pommes de terre froide,Pour un goût meilleur je cuis les pommes de terre à la vapeur sans les éplucher .,allemagne,Facile,1.23
Salade de pommes de terre froide,excellente salade de pomme de terre je l ai fait pour accompagner avec du poisson,allemagne,Facile,1.23
Salade de pommes de terre froide,"L’équipe de CuisineAZ vous remercie pour vos commentaires sur cette recette! Grâce à vous, nous avons amélioré cette recette! Il ne vous reste plus qu’à la cuisiner et à laisser votre avis à nouveau! On compte sur vous!",allemagne,Facile,1.23
Salade de pommes de terre froide,Accompagnez votre rôti de poulet d'une salade de pommes de terre froide et vous m'en direz des nouvelles! :),allemagne,Facile,1.23
Salade de pommes de terre froide,Facile et excellent. Je l'ai fait pour accompagner un barbecue. C'était une belle réussite!,allemagne,Facile,1.23
Salade de pommes de terre froide,"Très bonne recette. J'ai dégusté cette salade de pommes de terre froide avec des tomates, du thon, du concombre et de la ciboulette.",allemagne,Facile,1.23
Salade de pommes de terre froide,Excellente salade de pommes de terre que l'on peut servir en accompagnement avec de nombreuses viandes et avec du poisson.,allemagne,Facile,1.23
Salade de pommes de terre froide,Ma maman nous faisait souvent de la salade de pomme de terre froide et j'adorais en manger. Je vais donc en faire moi aussi en suivant la recette et en espérant que mon plat soit aussi savoureux que le sien.,allemagne,Facile,1.23
Salade de pommes de terre froide,C'est super bon et frais. La salade de pommes de terre froide en entrée lors d'un déjeuner.,allemagne,Facile,1.23
Salade de pommes de terre froide,"Plat convivial, simple à cuisiner, que les enfants ont beaucoup aimé. ",allemagne,Facile,1.23
