"nom","niveau","comment","pays","comment_en"
"Biscuits allemands de Noël","Facile","
        SUPER!  A part petite panne de gaz juste au moment de la cuisson.....ils ont bien supporté d 'attendre au frigo pendant une nuit....
Merci !
    ","allemagne","GREAT! Apart from a small gas outage just when cooking.....they held up well to waiting in the fridge overnight.... THANKS !"
"Biscuits allemands de Noël","Facile","
        C'est facile et beau ,trop cool
    ","allemagne","It's easy and beautiful, so cool"
"Biscuits allemands de Noël","Facile","
        exellent biscuit ! mes enfants et moi meme avons adorer j ai aussi doubler la quantiter pour avoir un peu plus ont n ai des gourmand !! 
    ","allemagne","excellent cookie! My children and I loved it, I also doubled the quantity to have a little more, I don't have a sweet tooth!!"
"Biscuits allemands de Noël","Facile","
        Délicieuse recette mais je double les quantités car avec celles d'indiquées et avec des emporte-pièces assez grands, je ne fais que 9 ou 10 biscuits, donc il faut doubler les quantités
    ","allemagne","Delicious recipe but I double the quantities because with those indicated and with fairly large cookie cutters, I only make 9 or 10 biscuits, so you have to double the quantities"
"Biscuits allemands de Noël","Facile","
        Pouvez-vous mettre une photo svp
    ","allemagne","Can you post a photo please"
"Biscuits allemands de Noël","Facile","
        Bien, je vais me lancer ! Quand je vois les autres commentaire, cela me fait sourire le nombre de biscuits. A mon avis, cela dépend des emporte-pièces. 
J'ai envie de doubler les quantités, pour diviser la pâte, ensuite d'incorporer d'autres épices, d'autre saveurs, pour avoir différents biscuits.
    ","allemagne","Okay, I'll get started! When I see the other comments, it makes me smile at the number of cookies. In my opinion, it depends on the cookie cutters. I want to double the quantities, to divide the dough, then to incorporate other spices, other flavors, to have different biscuits."
"Biscuits allemands de Noël","Facile","
        Combien obtient-on de biscuits grâce à cette recette ? Elle me paraît en effet succulente, et je souhaiterai en préparer pour un repas de famille...
    ","allemagne","How many cookies do you get from this recipe? It indeed seems delicious to me, and I would like to prepare it for a family meal..."
"Biscuits allemands de Noël","Facile","
        C'est très tentant !! Pouvez-vous m'indiquer combien de biscuits on obtient environ, s'il vous plait ?
    ","allemagne","It's very tempting !! Can you tell me approximately how many biscuits we get, please?"
"Biscuits allemands de Noël","Facile","
        Mmmm trop bon, je l'ai faite !
    ","allemagne","Mmmm so good, I made it!"
"Biscuits bretzels apéritifs","Facile","
        bonsoir,  
en tant qu'Alsacienne je voudrais vous dire que ce ne sont pas ces bretzels qui vont avec cette recette mais ceux que l'on achète en grandes surfaces !!!! 
    ","allemagne","Good evening, as an Alsatian I would like to tell you that it is not these pretzels that go with this recipe but those that we buy in supermarkets!!!!"
"Biscuits de Noël allemands (Lebkuchen)","Facile","
        Pas assez de précisons dans la recette,  les écorces doivent elles être coupées tt petit? Le chocolat est bien trop epais pour mettre sur les biscuits si on suit cette recette....1 seul oeuf ne suffit pas, sinon la pâte n'est que de la poudre... 

    ","allemagne","Not enough details in the recipe, should the peels be cut very small? The chocolate is much too thick to put on the biscuits if you follow this recipe....1 single egg is not enough, otherwise the dough is just powder..."
